,VIAT_ID,LCLASDC,MLSFCDC,SCLASDC,DCLASDC,BCLASDC,VIAT_NM,X_VALUE,Y_VALUE,latitude,longitude
1553,AA0009561749,산업,서비스산업,종합상품판매업,할인매장,GS슈퍼마켓,GS수퍼마켓,188456.446693,446820.979355,37.52080279103288,126.86941818724858
1554,AA0005535176,산업,서비스산업,금융/보험업,일반은행,새마을금고,새마을금고,204420.363428,448749.558412,37.53824091308898,127.05001523862707
1555,AA0000112987,교육/보건,보건시설,병/의원,미분류,,용강의원,200031.867665,447389.702593,37.52599918661165,127.00036051525215
1556,AA0000163315,교육/보건,보건시설,한의원,,,조한의원,185729.620026,448289.041078,37.53399187179542,126.83854365060387
1557,AA0006562524,교육/보건,보건시설,한의원,,,삼양으뜸한의원,201918.636153,457723.781504,37.6191067231098,127.02173234990238
1558,AA0002115852,교육/보건,교육시설,중등교육기관,공립중학교,,대청중학교,205165.765601,443458.42664799996,37.49056375990034,127.05841209517455
1559,AA0002097281,공공/환경,정치/사회/외교,외교시설,대사관,,주한이탈리아대사관,200487.461579,448628.607397,37.53716160670839,127.00551541903552
1560,AA0002131748,교육/보건,교육시설,대학교,종합대학,부속시설,대우관,194644.79443900002,452089.883612,37.56833220505329,126.93938290448557
1561,AA0006563673,교육/보건,보건시설,한의원,,,신정양지한의원,187050.013431,446426.35834700003,37.517228593504804,126.8535154712758
1562,AA0003726221,교육/보건,교육시설,유아교육기관,사립유치원,,서울신삼유치원,209704.578576,457563.175879,37.61761049135428,127.1099213306454
1563,AA0006926289,산업,서비스산업,종합상품판매업,할인매장,롯데마트,롯데마트,204273.338585,458141.484868,37.62286225111707,127.04840644679307
1564,AA0006790641,산업,서비스산업,언론/미디어,기타언론/미디어,,굿모닝필름,201892.790664,446788.355053,37.52057908964979,127.02141137532689
1565,AA0006607874,교육/보건,보건시설,기타보건시설,약국,미분류,한가족약국,209507.349726,444992.091442,37.504347683145525,127.10752447617323
1566,AA0003897601,산업,서비스산업,종합상품판매업,시장,전통시장,태릉시장,206844.376888,455508.129259,37.5991204834756,127.07750535993812
1567,AA0003135411,레저/관광/예술,문화/예술시설,공연/연극장,문화센터,,스카이파크,198333.600203,451266.183783,37.56092475602907,126.98113941330921
1568,AA0003158305,레저/관광/예술,문화/예술시설,미술관,미술관,미분류,소마미술관세미나실,210437.17718499998,446412.59991000005,37.517136460788755,127.1180606053628
1569,AA0000091048,교육/보건,보건시설,기타보건시설,약국,지역약국,이화당약국,191680.418185,446680.05511099997,37.519567751353065,126.90588961148397
1570,AA0002128182,교육/보건,교육시설,고등교육기관,사립고등학교,,염광여자메디텍고등학교,204300.166078,458926.937894,37.629938951480334,127.04871495476938
1571,AA0010145089,산업,서비스산업,종합상품판매업,편의점,GS25,지에스25,206189.033231,453080.67782700004,37.577253981236424,127.07006378468533
1572,AA0005536748,산업,서비스산업,금융/보험업,기타금융업,,크레디트스위스증권,198120.650871,451617.187562,37.564086878186,126.97872831877847
1573,AA0000046252,교육/보건,교육시설,유아교육기관,어린이집,,천사마을어린이집,191778.352872,439541.855192,37.4552529578203,126.9070771368115
