,VIAT_ID,LCLASDC,MLSFCDC,SCLASDC,DCLASDC,BCLASDC,VIAT_NM,X_VALUE,Y_VALUE,latitude,longitude,sido,gu,dong
11148,AA0000164616,교육/보건,보건시설,한의원,,,송파만당한의원,211010.1045,443833.6067,37.493893,127.1245027,서울특별시,송파구,가락2동
11149,AA0002590849,행정,중앙행정기관,중앙행정부처,산하기관,,마포구자유총연맹,193261.8994,451782.4105,37.56555281,126.9237324,서울특별시,마포구,연남동
11150,AA0006560168,교육/보건,보건시설,한의원,,,다선한의원,198495.6029,443184.9062,37.48811253,126.9829895,서울특별시,서초구,방배4동
11151,AA0006568125,교육/보건,보건시설,한의원,,,황우량중국한의원,199335.8171,443394.4485,37.49000151,126.9924898,서울특별시,서초구,방배4동
11152,AA0002108246,교육/보건,교육시설,초등교육기관,공립초등학교,,서울양원초등학교,184399.5444,448774.153,37.53834118,126.8234848,서울특별시,양천구,신월3동
11153,AA0006501879,산업,서비스산업,종합상품판매업,편의점,CU,CU,194755.1215,444133.4121,37.49664498,126.9406885,서울특별시,동작구,상도4동
11154,AA0000041460,교육/보건,교육시설,유아교육기관,어린이집,,아동회관어린이집,201042.4004,453194.3433,37.5782983,127.0118008,서울특별시,종로구,창신3동
11155,AA0000093380,교육/보건,보건시설,기타보건시설,약국,지역약국,굿모닝약국,187243.6856,443489.2824,37.49076816,126.8557571,서울특별시,구로구,개봉2동
11156,AA0010127310,교육/보건,보건시설,한의원,,,경희봄한의원,198613.9607,452159.0217,37.56896966,126.9843109,서울특별시,종로구,종로1.2.3.4가동
11157,AA0003897740,산업,서비스산업,종합상품판매업,시장,미분류,마장축산물시장,203434.2845,452264.7018,37.56991647,127.0388745,서울특별시,성동구,마장동
11158,AA0006608649,교육/보건,보건시설,기타보건시설,약국,미분류,행복한약국,190720.0536,441406.9492,37.47204763,126.8950925,서울특별시,금천구,독산1동
11159,AA0000045058,교육/보건,교육시설,유아교육기관,어린이집,,도담i어린이집,192034.7267,450410.3604,37.55318091,126.9098571,서울특별시,마포구,합정동
11160,AA0006605017,교육/보건,보건시설,기타보건시설,약국,미분류,자연약국,204619.4604,463774.5546,37.67361358,127.0523628,서울특별시,노원구,상계1동
11161,AA0002117227,교육/보건,교육시설,중등교육기관,공립중학교,,세곡중학교,208141.7979,441414.412,37.4721256,127.0920411,서울특별시,강남구,세곡동
11162,AA0002131059,교육/보건,교육시설,대학교,종합대학,부속시설,은주1관,201129.7997,457259.3993,37.614924,127.0127965,서울특별시,성북구,정릉4동
11163,AA0006504949,산업,서비스산업,종합상품판매업,편의점,GS25,GS25,200577.5311,460648.7835,37.6454624,127.006544,서울특별시,강북구,우이동
11164,AA0002571802,레저/관광/예술,문화/예술시설,공연/연극장,미분류,,세실극장,197875.0089,451907.994,37.5667065,126.9759471,서울특별시,중구,소공동
11165,AA0006717649,산업,서비스산업,언론/미디어,음반/비디오,,짱비디오,189164.8714,444155.7352,37.49679746,126.8774712,서울특별시,구로구,구로1동
11166,AA0003149199,산업,서비스산업,종합상품판매업,기타종합상품판매업,,한빛카페트,198023.1322,451143.4851,37.55981863,126.9776258,서울특별시,중구,회현동
11167,AA0002115536,교육/보건,교육시설,중등교육기관,공립중학교,,동작중학교,197971.0108,444011.4416,37.49555868,126.9770556,서울특별시,동작구,사당2동
11168,AA0006506781,산업,서비스산업,종합상품판매업,편의점,미니스톱,미니스톱,203136.0707,445133.3093,37.50566368,127.0354684,서울특별시,강남구,역삼1동
11169,AA0002109194,교육/보건,교육시설,초등교육기관,공립초등학교,,서울신석초등학교,194521.9216,449424.206,37.54431381,126.938012,서울특별시,마포구,신수동
11170,AA0006792201,산업,서비스산업,언론/미디어,음반/비디오,,노만엔터테인먼트,201913.2992,454029.3039,37.58581985,127.0216622,서울특별시,성북구,안암동
11171,AA0000552514,산업,서비스산업,금융/보험업,일반은행,우리은행,우리은행,201821.2492,445755.5701,37.5112738,127.0205995,서울특별시,서초구,잠원동
11172,AA0000164590,교육/보건,보건시설,한의원,,,견우한의원,191768.1127,446367.4019,37.51675153,126.9068851,서울특별시,영등포구,영등포동
11173,AA0006793045,산업,서비스산업,언론/미디어,음반/비디오,,큐리어스랩,195734.397,449986.8683,37.54938979,126.9517286,서울특별시,마포구,아현동
11174,AA0006560805,교육/보건,보건시설,한의원,,,동영한의원,208135.9605,454555.6235,37.59052799,127.0921206,서울특별시,중랑구,면목본동
11175,AA0006782395,산업,서비스산업,언론/미디어,음반/비디오,,트랜디DVD,191811.8943,446411.6513,37.5171506,126.9073798,서울특별시,영등포구,영등포동
11176,AA0003898093,산업,서비스산업,종합상품판매업,시장,전통시장,제일시장,193739.6762,456744.854,37.6102674,126.9290978,서울특별시,은평구,대조동
11177,AA0002131601,교육/보건,교육시설,대학교,종합대학,부속시설,공과대학,206965.3699,449126.2351,37.54161906,127.0788149,서울특별시,광진구,화양동
11178,AA0010147323,산업,서비스산업,종합상품판매업,편의점,GS25,GS25중앙병원,203102.3923,455227.1022,37.59660868,127.0351301,서울특별시,성북구,종암동
11179,AA0002114948,교육/보건,교육시설,중등교육기관,공립중학교,,광남중학교,208984.7083,449025.9287,37.54069784,127.1016629,서울특별시,광진구,광장동
11180,AA0002113074,교육/보건,교육시설,초등교육기관,공립초등학교,,서울수명초등학교,184399.0723,450367.7451,37.55269935,126.8234456,서울특별시,강서구,발산1동
11181,AA0002133085,교육/보건,교육시설,대학교,종합대학,부속시설,형남공학관,196115.1752,444033.5957,37.49575235,126.9560692,서울특별시,동작구,상도1동
11182,AA0006561386,교육/보건,보건시설,한의원,,,모정한의원,211386.9216,442578.1022,37.48257626,127.1287443,서울특별시,송파구,장지동
11183,AA0002133801,교육/보건,교육시설,대학교,종합대학,부속시설,학생회관,201565.1787,443490.3224,37.49086426,127.0176984,서울특별시,서초구,서초1동
11184,AA0000162577,교육/보건,보건시설,한의원,,,예담한의원,194083.1801,447085.9766,37.52324364,126.9330662,서울특별시,영등포구,여의동
11185,AA0002131466,교육/보건,교육시설,대학교,종합대학,부속시설,정보통신관,204354.905,450711.9853,37.55592266,127.0492862,서울특별시,성동구,사근동
11186,AA0002131750,교육/보건,교육시설,대학교,종합대학,부속시설,동문,195208.187,451868.7951,37.56634331,126.9457615,서울특별시,서대문구,신촌동
11187,AA0006563560,교육/보건,보건시설,한의원,,,쉬즈한의원,202277.802,444555.5241,37.50046031,127.0257597,서울특별시,서초구,서초4동
11188,AA0003171634,레저/관광/예술,문화/예술시설,공연/연극장,소극장,,AN아트홀,200310.6123,453664.6338,37.58253613,127.0035166,서울특별시,종로구,이화동
11189,AA0003897559,산업,서비스산업,종합상품판매업,시장,미분류,서울수산청과시장,194580.6772,446087.2363,37.51424802,126.9387014,서울특별시,동작구,노량진2동
11190,AA0002109140,교육/보건,교육시설,초등교육기관,공립초등학교,,서울대현초등학교,205630.0636,444943.4801,37.50394147,127.0636735,서울특별시,강남구,대치2동
11191,AA0000162638,교육/보건,보건시설,한의원,,,명동남산한의원,198812.1555,451384.7748,37.561994,126.9865556,서울특별시,중구,명동
